ASR Engine,Transcribed Text,Commands,Latency (s),,FALSE,,
OpenAI Whisper,or,,14.94,7.471914894,TRUE,13,0.276595745
OpenAI Whisper,could you move it to the right,move_right,6.67,,TRUE,,
OpenAI Whisper,could you move it to the right a little,move_right,6.56,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,7.02,,FALSE,,
OpenAI Whisper,15gm of butter 15gm of sugar 15g of sugar 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of salt,,7.83,,FALSE,,
OpenAI Whisper,i want to draw something near,,6.66,,FALSE,,
OpenAI Whisper,i want to draw something new,,6.62,,FALSE,,
OpenAI Whisper,i want to draw something new,,6.6,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.87,,FALSE,,
OpenAI Whisper,take it up a notch,,6.57,,FALSE,,
OpenAI Whisper,15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar 15g of sugar,,7.7,,TRUE,,
OpenAI Whisper,reclassify this sketch,reclassify,6.75,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,7.01,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.89,,TRUE,,
OpenAI Whisper,please delete that drawing,delete,6.38,,FALSE,,
OpenAI Whisper,a great drawing,,6.58,,FALSE,,
OpenAI Whisper,create a drawing,,6.63,,TRUE,,
OpenAI Whisper,spawn,spawn,9.91,,FALSE,,
OpenAI Whisper,15g of butter 15g of sugar 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of sugar 15g of salt 15g of salt 15g of salt 15g of salt 15g of salt 15g of salt 15g of salt,,7.62,,FALSE,,
OpenAI Whisper,43 xiaoxi,,10.83,,FALSE,,
OpenAI Whisper,1ch 15g 15g 15g 15g 15g 15g 15g,,9.83,,FALSE,,
OpenAI Whisper,15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water 15gm of water,,8.07,,TRUE,,
OpenAI Whisper,move it down and then left,move_left,6.55,,FALSE,,
OpenAI Whisper,1.0111E+111,,8.46,,FALSE,,
OpenAI Whisper,4  5  8,,9.16,,TRUE,,
OpenAI Whisper,could you place an object and push to the left twice,move_left,6.95,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.88,,TRUE,,
OpenAI Whisper,move greatly to the right,move_right,6.72,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.92,,FALSE,,
OpenAI Whisper,your truth,,7.05,,FALSE,,
OpenAI Whisper,today is sunny,,6.54,,FALSE,,
OpenAI Whisper,do the thing again like that,,6.68,,FALSE,,
OpenAI Whisper,så ici androidup,,6.99,,FALSE,,
OpenAI Whisper,above,,6.81,,FALSE,,
OpenAI Whisper,15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps 15gbps,,7.77,,TRUE,,
OpenAI Whisper,move it all the way out,"move_left, move_down",7.11,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.87,,FALSE,,
OpenAI Whisper,that all the way over there,,6.57,,TRUE,,
OpenAI Whisper,move that all,"move_left, move_right",7,,TRUE,,
OpenAI Whisper,move that all the way in,"move_left, move_right",7.04,,TRUE,,
OpenAI Whisper,move that all the way over there,"move_left, move_right",7.17,,FALSE,,
OpenAI Whisper,1.0111E+111,,8.56,,FALSE,,
OpenAI Whisper,15gm of gpsd 15gm of gpsd 15gm of gpsd 15gm of gpsd 15gm of gpsd 15gm of gpsd 15gm of gpsd,,7.41,,FALSE,,
OpenAI Whisper,3x411 × 40 k tv 1x2 2050 mn 3x4 2224 degrees 4 x 4 ´,,9.12,,FALSE,,
OpenAI Whisper,lets start over,,6.58,,TRUE,,
OpenAI Whisper,can we shift this up and make a new one,move_up,6.74,,FALSE,,
OpenAI Whisper,15 15 15 15 15 15 15,,6.99,,,,
